indicator,year,geography,fips,race,sex,age_group,misc,rate,cases,population
AIDS deaths,2002,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,16,1052153
AIDS deaths,2002,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.5,1087,7014867
AIDS deaths,2002,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,55,1495584
AIDS deaths,2002,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,18.3,2900,15811518
AIDS deaths,2002,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,407,6835653
AIDS deaths,2002,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.4,2,529457
AIDS deaths,2002,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,60350
AIDS deaths,2002,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,286,9383766
AIDS deaths,2002,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,104,2854337
AIDS deaths,2002,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,104,2909824
AIDS deaths,2002,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.5,770,10297843
AIDS deaths,2002,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,24.1,746,3089506
AIDS deaths,2002,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.7,42,888037
AIDS deaths,2002,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.9,367,3374298
AIDS deaths,2002,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,7,624064
AIDS deaths,2002,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,8.2,391,4786119
AIDS deaths,2002,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.7,1326,17282042
AIDS deaths,2002,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,12.8,11,85959
AIDS deaths,2002,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2,36,1797806
AIDS deaths,2002,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,5,517188
AIDS deaths,2002,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,336,6008506
AIDS deaths,2002,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,158,4974675
AIDS deaths,2002,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.6,39,1523049
AIDS deaths,2002,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.2,100,4496002
AIDS deaths,2002,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.7,3,411397
AIDS deaths,2003,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.7,248,3701630
AIDS deaths,2003,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,5,519682
AIDS deaths,2003,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,40487
AIDS deaths,2003,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.3,241,4506957
AIDS deaths,2003,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,89,2238799
AIDS deaths,2003,California,6,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,1807,28413343
AIDS deaths,2003,Colorado,8,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,122,3721690
AIDS deaths,2003,Connecticut,9,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.5,301,2865678
AIDS deaths,2003,Delaware,10,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,15.9,107,673153
AIDS deaths,2003,District of Columbia,11,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,76.9,378,491773
AIDS deaths,2003,Florida,12,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,16.5,2351,14253456
AIDS deaths,2003,Georgia,13,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10.8,763,7055209
AIDS deaths,2003,Guam,66,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,4,120622
AIDS deaths,2003,Hawaii,15,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.6,37,1029175
AIDS deaths,2003,Idaho,16,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,16,1094712
AIDS deaths,2003,Illinois,17,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,655,10266174
AIDS deaths,2003,Indiana,18,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.3,165,5054339
AIDS deaths,2003,Iowa,19,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,32,2429272
AIDS deaths,2003,Kansas,20,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3,66,2222213
AIDS deaths,2003,Kentucky,21,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.7,92,3406044
AIDS deaths,2003,Louisiana,22,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.1,513,3638940
AIDS deaths,2003,Maine,23,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,21,1103006
AIDS deaths,2003,Maryland,24,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,19.5,882,4514730
AIDS deaths,2003,Massachusetts,25,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6,322,5388168
AIDS deaths,2003,Michigan,26,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.9,324,8255625
AIDS deaths,2003,Minnesota,27,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,77,4151569
AIDS deaths,2003,Mississippi,28,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,10,233,2324291
AIDS deaths,2003,Missouri,29,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.2,200,4709970
AIDS deaths,2003,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.8,6,765173
AIDS deaths,2003,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.8,26,1418411
AIDS deaths,2003,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.3,133,1813322
AIDS deaths,2003,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.9,20,1066193
AIDS deaths,2003,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.2,931,7063290
AIDS deaths,2003,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.7,71,1517325
AIDS deaths,2003,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,18.3,2908,15926650
AIDS deaths,2003,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.4,445,6924400
